dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
1494,bo_div,600,3600,25,0.025,0.2,3606.687967704,20,0.09922673983537038,0.9007732601646302,0.8114063088463946,0.09429684557680242,0.45169132617993263,0.2741543369100336,0.1726365677226242,0.8394847984050786,0.8270120724346076,0.8270120724346076,0.8625592417061612,0.8270120724346077
1494,bo_div,600,3600,25,0.025,0.2,3605.165905449,12,0.08832399827660492,0.911676001723395,0.823399246853393,0.0883003765733034,0.4611061673646642,0.26944691631766793,0.16379434151945996,0.8479380755371682,0.8306841046277667,0.8306841046277667,0.8720379146919431,0.8306841046277667
1494,bo_div,600,3600,25,0.025,0.2,3655.229926166,14,0.09551585854903387,0.9044841414509665,0.5879208281790442,0.20603958591047788,0.31751180108189136,0.3412440994590542,0.2517577209520339,0.8444467041208022,0.8408953722334003,0.8408953722334003,0.8625592417061612,0.8408953722334004
4134,bo_div,600,3600,25,0.025,0.2,3611.648749763,6,0.15064358632933864,0.8493564136706616,0.16372877309279552,0.4181356134536022,0.07474261297104313,0.4626286935144784,0.43950288504216606,0.7840508657718721,0.7839873435803669,0.7839873435803669,0.7856191744340879,0.7839873435803668
4134,bo_div,600,3600,25,0.025,0.2,3638.194919443,16,0.13496449178872613,0.8650355082112738,0.7286716640287587,0.1356641679856208,0.4023217279561667,0.29883913602191664,0.22940523746116293,0.8059988518943744,0.8048718644648877,0.8048718644648877,0.8082556591211718,0.8048718644648878
4134,bo_div,600,3600,25,0.025,0.2,3781.93727356,16,0.15638038171327115,0.843619618286729,0.46155947129373004,0.26922026435313484,0.26517245999238553,0.36741377000380715,0.3313803817132713,0.8097555717250114,0.8083323810067996,0.8083323810067996,0.8122503328894807,0.8083323810067996
4134,bo_div,600,3600,25,0.025,0.2,4190.513634914,17,0.13995065402992088,0.8600493459700789,0.49862529993502397,0.25068735003248804,0.27394827860481313,0.36302586069759346,0.31428683324195206,0.8012787627106746,0.7996114507742415,0.7996114507742415,0.8042609853528628,0.7996114507742415
4134,bo_div,600,3600,25,0.025,0.2,3621.88832212,10,0.14188489421512057,0.8581151057848794,0.7789325175720268,0.11053374121398658,0.44200405214933475,0.27899797392533265,0.21396656310105044,0.8004925400996568,0.7992828981201074,0.7992828981201074,0.8029294274300932,0.7992828981201074
40498,bo_div,600,3600,25,0.025,0.2,4402.392068914,3,0.36768707482993196,0.632312925170068,-0.0014576323820596853,0.5007288161910298,0.00191872579224453,0.49904063710387775,0.5244897959183673,0.40017853332310793,0.8436667651466322,0.7731463884338714,0.6989795918367347,0.37445600545747826
40498,bo_div,600,3600,25,0.025,0.2,3615.651305817,13,0.30418628990057567,0.6958137100994243,0.26361582762320585,0.36819208618839705,0.14687938610557158,0.4265603069472142,0.4365253793825224,0.4010699926987988,0.8370091231539618,0.753398301604303,0.689795918367347,0.3715447659851194
40498,bo_div,600,3600,25,0.025,0.2,3612.327886611,7,0.27249757045675405,0.7275024295432457,0.5005307721524521,0.24973461392377394,0.2747188224714057,0.36264058876429717,0.36258503401360537,0.3907513605785367,0.8253130688603607,0.7981278760221006,0.6581632653061225,0.3642164597797882
40498,bo_div,600,3600,25,0.025,0.2,4025.783906802,6,0.24700680272108846,0.7529931972789116,0.32685896718543833,0.33657051640728075,0.1727943251807243,0.4136028374096378,0.4127891156462585,0.4073610180230167,0.8241963783237286,0.795639804056692,0.6581632653061225,0.3851192867024973
40498,bo_div,600,3600,25,0.025,0.2,5924.180251839,6,0.2526530612244898,0.7473469387755102,0.574684119154268,0.21265794042286607,0.3371412744257688,0.3314293627871156,0.33278911564625857,0.37112566391145746,0.8334845207730432,0.8357312027658389,0.636734693877551,0.3618698557211076
40668,bo_div,600,3600,25,0.025,0.2,3612.713897131,1,,,,,,,,0.6582261384582,0.8626709712432191,0.8244780975526054,0.8038780343398461,0.649299807914971
